@relation 'MusicMoods-weka.filters.unsupervised.attribute.Remove-R14-15,17-18-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Reorder-Rlast-first'

@attribute track_mode_confidence numeric
@attribute track_key_confidence numeric
@attribute track_time_signature_confidence numeric
@attribute track_time_signature numeric
@attribute track_tempo_confidence numeric
@attribute track_end_of_fade_in numeric
@attribute duration_ms numeric
@attribute tempo numeric
@attribute valence numeric
@attribute liveness numeric
@attribute instrumentalness numeric
@attribute acousticness numeric
@attribute speechiness numeric
@attribute mode numeric
@attribute loudness numeric
@attribute key numeric
@attribute energy numeric
@attribute danceability numeric
@attribute mood {0,1}

@data
0.481,0.354,0.995,4,0.181,0.2942,286920,121.568,0.329,0.0615,0,0.727,0.0342,0,-10.237,5,0.381,0.477,0
0.627,0.616,0.379,5,0.02,0.20925,233213,79.239,0.163,0.139,0.000034,0.0194,0.0277,1,-7.784,5,0.459,0.367,0
0.498,0.478,1,4,0.932,0.51651,224333,130.332,0.881,0.141,0.0905,0.0383,0.0488,1,-7.321,0,0.937,0.781,1
0.543,0.586,0.997,4,0.968,0.22562,315573,126.017,0.63,0.109,0.0037,0.0036,0.0311,1,-6.548,2,0.738,0.671,1
0.72,0.557,1,4,0.843,0,193164,119.999,0.967,0.236,0.00425,0.0783,0.0276,0,-4.03,7,0.895,0.785,1
0.558,0.286,0.874,3,0.293,0,360373,121.967,0.0778,0.163,0.877,0.429,0.0353,1,-9.277,8,0.491,0.344,0
0.557,0.673,1,4,0.38,2.22912,258173,156.189,0.877,0.0417,0.000597,0.0375,0.0739,0,-5.931,10,0.813,0.78,1
0.469,0.469,0.977,4,0.285,0.26118,429267,99.458,0.754,0.302,0.25,0.0523,0.055,0,-9.642,1,0.799,0.723,1
0.581,0.384,1,4,0.528,0.07565,178360,97.123,0.962,0.103,0.000065,0.0168,0.033,1,-7.387,8,0.672,0.747,1
0.761,0.674,0.821,4,0.146,0.10998,240533,108.795,0.145,0.163,0.00003,0.64,0.0331,0,-14.824,2,0.0975,0.403,0
0.567,0.655,1,4,0.723,0.13351,293320,119.955,0.945,0.112,0.000005,0.216,0.0299,1,-3.002,5,0.819,0.618,1
0.746,0.753,1,4,0.62,0.26567,298960,97.945,0.376,0.107,0.000006,0.172,0.0241,1,-7.332,7,0.496,0.692,0
0.226,0.075,0.952,4,0.743,0.10454,341560,135.016,0.275,0.0879,0.726,0.00128,0.034,0,-6.994,11,0.888,0.588,1
0.128,0,0.954,4,0.53,0.122,213813,155.513,0.283,0.084,0.000135,0.117,0.179,1,-9.826,0,0.919,0.246,0
0.788,0.421,1,4,0.449,0.20898,264827,98.004,0.0451,0.0826,0.0795,0.00107,0.0332,1,-6.923,7,0.624,0.598,0
0.879,0.463,0.835,4,0.215,0,280387,172.823,0.361,0.119,0,0.332,0.0438,0,-7.9,11,0.552,0.337,0
0.339,0.248,1,4,0.57,4.39438,296760,149.447,0.888,0.289,0.146,0.012,0.0964,0,-7.295,5,0.897,0.779,1
0.329,0.107,0.89,4,0.476,0.41855,223840,115.662,0.209,0.119,0.000006,0.526,0.029,0,-12.572,7,0.22,0.579,0
0.82,0.868,0.926,4,0.925,0,205160,131.989,0.673,0.947,0.00113,0.144,0.0916,1,-3.258,7,0.935,0.685,1
0.633,1,0.749,4,0.981,0.2844,269200,131.95,0.76,0.853,0.0016,0.057,0.0301,0,-4.514,4,0.921,0.616,1
0.529,0.452,1,4,0.788,0.06458,277640,124.435,0.89,0.0334,0.344,0.0629,0.0437,1,-11.443,0,0.892,0.809,1
0.396,0.209,0.813,3,0.407,0,280667,125.928,0.0448,0.107,0.681,0.227,0.0288,1,-13.613,1,0.234,0.524,0
