"_id","id","artist","title","mood","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track_duration","track_end_of_fade_in","track_start_of_fade_out","track_loudness","track_tempo","track_tempo_confidence","track_time_signature","track_time_signature_confidence","track_key","track_key_confidence","track_mode","track_mode_confidence"
5a7879186c7da81a2b374d12,276iCC5iQufaaA8UKgCBht,B. Fleischmann,24.12.,0,0.508,0.639,0,-11.017,1,0.0339,0.0383,0.267,0.102,0.798,74.989,227573,4,227.57333,0.34041,215.88753,-11.017,74.989,0.196,4,0.327,0,0.739,1,0.45
5a7879196c7da81a2b374d13,1VE5xeo9aUZGpSi9fGFOP5,Mellowdrone,Bone Marrow,0,0.507,0.764,9,-6.551,0,0.0286,0.021,0.0532,0.639,0.525,94.998,227973,4,227.97333,0.15669,227.97333,-6.551,94.998,0.633,4,0.859,9,0,0,0.174
5a78791a6c7da81a2b374d14,2xT8RTFCqWIukIelIu0Jdt,Nick Lachey,Resolution,0,0.437,0.204,0,-10.665,1,0.0345,0.893,0,0.0976,0.244,133.912,229773,4,229.77333,0.26943,221.92472,-10.665,133.912,0.103,4,1,0,0.54,1,0.749
5a78791a6c7da81a2b374d15,2b0g7xkGo0yiXOFy7LIpj5,The Lucksmiths,"If You Lived Here, You'd be Home Now",0,0.417,0.391,5,-9.153,1,0.0257,0.505,0.0734,0.0924,0.259,169.381,288360,4,288.36,0.23791,281.32717,-9.153,169.381,0.156,4,1,5,0.614,1,0.649
5a78791c6c7da81a2b374d16,76DjBx3ENbm1o8NrYeOlBc,The Field Mice,Landmark,0,0.58,0.277,8,-14.196,1,0.031,0.00372,0.829,0.133,0.579,108.033,308267,3,308.26667,0.25447,299.20653,-14.196,108.033,0.428,3,1,8,0.798,1,0.565
5a78791c6c7da81a2b374d17,3C6zNnJOJiDDczkWZhRZLE,Brooke Waggoner,Wonder-Dummied,0,0.379,0.416,1,-11.085,0,0.0374,0.115,0.372,0.0982,0.146,142.843,280467,4,280.46667,0.11102,267.99891,-11.085,142.843,0.55,4,0.781,1,0.644,0,0.734
5a78791d6c7da81a2b374d18,35QzRJdcu0opkVRbgMuUmH,k.d. lang,Love Is Everything,0,0.24,0.214,9,-11.791,1,0.0316,0.752,0.0000662,0.11,0.0626,183.219,343133,4,343.13333,0.33873,324.24925,-11.791,183.219,0.063,4,0.987,9,0.823,1,0.761
5a78791e6c7da81a2b374d19,4IPPK9wIeHEkZ9wHs4MHIY,L'âme Immortelle,Lass mich fallen,0,0.474,0.63,5,-7.621,0,0.041,0.0329,0.0491,0.38,0.212,100.134,253960,4,253.96,4.54531,244.32036,-7.621,100.134,0.152,4,1,5,0.664,0,0.707
5a78791f6c7da81a2b374d1a,5JyiuuUP8PNFn5knJhyyhZ,Joe Brooks,Five Days Of Summer,0,0.592,0.42,8,-9.506,1,0.0309,0.666,0,0.107,0.385,92.71,240587,4,240.58667,0.46376,225.518,-9.506,92.71,0.105,4,0.991,8,0.568,1,0.699
5a78791f6c7da81a2b374d1b,00knBgGXqIjZEZ5P7SxXcI,Noize MC,Говорящие головы,0,0.395,0.941,6,-3.8,0,0.106,0.00245,0.00000107,0.305,0.426,185.746,271015,4,271.01519,0,254.92027,-3.8,185.746,0.086,4,0.963,6,0.243,0,0.503
