@relation 'MusicMoods-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R2,4-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R7'

@attribute track_mode_confidence numeric
@attribute track_key_confidence numeric
@attribute track_time_signature_confidence numeric
@attribute track_time_signature numeric
@attribute track_tempo_confidence numeric
@attribute track_end_of_fade_in numeric
@attribute duration_ms numeric
@attribute tempo numeric
@attribute valence numeric
@attribute liveness numeric
@attribute instrumentalness numeric
@attribute acousticness numeric
@attribute speechiness numeric
@attribute mode numeric
@attribute loudness numeric
@attribute key numeric
@attribute energy numeric
@attribute danceability numeric
@attribute mood {0,1}

@data
0.28,0.338,1,4,0.373,0.23224,155760,163.046,0.751,0.147,0.00144,0.00013,0.0301,1,-5.986,10,0.852,0.475,1
0.368,0.25,1,4,0.727,5.36381,553800,127.184,0.529,0.0861,0.907,0.00565,0.0432,0,-4.766,11,0.962,0.533,1
0.664,0.813,0.991,4,0.211,0.35528,247133,79.975,0.164,0.155,0.0445,0.0848,0.0256,0,-7.768,2,0.555,0.54,0
0.591,0.582,1,4,0.825,0.20454,309267,128.009,0.24,0.112,0.0119,0.124,0.0287,1,-10.214,6,0.384,0.646,0
0.6,0.533,0.868,4,0.824,0.24952,303813,129.981,0.203,0.138,0.000236,0.22,0.0313,1,-7.058,7,0.65,0.646,1
0.563,0.979,1,4,0.499,0.11583,371520,109.067,0.644,0.212,0.778,0.015,0.0823,1,-6.998,5,0.965,0.497,1
0.449,0.224,1,4,0.126,0.08744,256973,149.166,0.411,0.0967,0,0.0638,0.0249,0,-5.172,11,0.534,0.566,0
0.586,0.57,0.884,3,0.77,0.2307,362067,171.301,0.209,0.38,0.655,0.549,0.0335,0,-15.189,2,0.353,0.506,0
0.42,0.306,0.908,4,0.678,4.48145,406147,118.714,0.484,0.0609,0.00001,0.545,0.0312,1,-11.075,7,0.427,0.599,0
0.58,0.646,1,4,0.25,1.09914,228800,187.087,0.36,0.0998,0.000506,0.161,0.111,0,-7.847,11,0.828,0.386,0
0.707,0.834,0.917,4,0.067,0,261613,129.834,0.278,0.108,0.000069,0.853,0.0317,1,-9.051,5,0.308,0.401,0
0.152,0.044,1,4,0.562,2.17107,254227,140.012,0.0914,0.206,0.858,0.505,0.046,1,-17.931,2,0.248,0.596,0
0.696,0.649,0.486,3,0.294,2.58902,226907,179.313,0.0691,0.334,0.432,0.917,0.0495,1,-22.147,7,0.0574,0.493,0
0.438,0.337,0.584,4,0.672,2.20009,324885,100.018,0.14,0.0895,0.988,0.644,0.0315,1,-15.425,9,0.559,0.509,1
0.431,0.485,1,4,0.468,0.13832,323333,146.897,0.52,0.0495,0.000004,0.0211,0.0396,0,-11.233,11,0.484,0.645,0
